ID;FirstName;LastName;Patronymic;Birthday;RegistrationDate;Email;Phone;GenderCode;PhotoPath
;Оскар;Васильев;Богданович;30.01.1971;28.05.2017;miturria@verizon.net;7(585)801-94-29 ;м;NULL
;Алексей;Лазарев;Богданович;10.03.1977;02.01.2017;claesjac@me.com;7(0055)737-37-48 ;м;NULL
;Дмитрий;Казаков;Русланович;15.12.1978;21.05.2016;ozawa@verizon.net;7(51)682-19-40 ;м;NULL
;Харита;Попова;Якуновна;16.12.1997;05.07.2016;firstpr@verizon.net;7(335)386-81-06 ;ж;NULL
;Георгина;Турова;Семёновна;28.05.1974;22.02.2018;yruan@optonline.net;7(555)321-42-99 ;ж;NULL
;Станислав;Андреев;Максович;10.10.1975;26.12.2017;budinger@mac.com;7(02)993-91-28 ;м;NULL
;Влада;Орлова;Мартыновна;26.06.1990;21.03.2016;rnelson@yahoo.ca;7(2506)433-38-35 ;ж;NULL
;Любава;Костина;Авксентьевна;13.07.1972;26.02.2016;gordonjcp@hotmail.com;7(6419)959-21-87 ;ж;NULL
;Станислав;Александров;Эдуардович;04.07.1981;08.11.2018;bigmauler@aol.com;7(18)164-05-12 ;м;NULL
;Анэля;Корнилова;Михайловна;02.04.1973;22.05.2016;jonathan@aol.com;7(20)980-01-60 ;ж;NULL
;Наум;Морозов;Валерьянович;04.07.1985;02.05.2016;salesgeek@mac.com;7(636)050-96-13 ;м;NULL
;Эльмира;Баранова;Дмитриевна;15.01.1977;08.07.2016;jgmyers@comcast.net;7(9240)643-15-50 ;ж;NULL
;Амелия;Степанова;Робертовна;06.06.1970;27.09.2017;rasca@hotmail.com;7(1217)441-28-42 ;ж;NULL
;Давид;Горбачёв;Тимурович;22.05.1983;17.12.2018;hedwig@att.net;7(53)602-85-41 ;м;NULL
;Людвиг;Волков;Витальевич;27.12.1977;27.04.2016;jrkorson@msn.com;7(8459)592-05-58 ;м;NULL
;Амалия;Комиссарова;Робертовна;18.08.1971;04.08.2017;jorgb@msn.com;7(22)647-46-32 ;ж;NULL
;Вадим;Большаков;Данилович;15.05.1970;04.08.2018;uncle@gmail.com;7(386)641-13-37 ;м;NULL
